date,product,unit,weight_dinar,pg_sell,pg_buy
2024-05-28T00:00:00Z,gap,gram,NA,NA,0
2024-05-28T00:00:00Z,gap,gram,NA,1,0
2024-05-28T00:00:00Z,gold_bar,gram,10,3861,3513
2024-05-28T00:00:00Z,gold_bar,gram,20,7704,7088
2024-05-28T00:00:00Z,gold_bar,gram,50,19171,17734
2024-05-28T00:00:00Z,gold_bar,gram,100,38165,35494
2024-05-28T00:00:00Z,gold_bar,gram,250,95101,89395
2024-05-28T00:00:00Z,gold_bar,gram,1000,380405,357581
2024-05-28T00:00:00Z,gold_wafer_24k,dinar,1,1641,1493
2024-05-28T00:00:00Z,gold_wafer_24k,dinar,5,8205,7548
2024-05-28T00:00:00Z,gold_wafer_24k,dinar,10,16409,15179
2024-05-28T00:00:00Z,small_bar,gram,315,NA,0
2024-05-28T00:00:00Z,small_bar,gram,NA,NA,0
2024-05-28T00:00:00Z,small_bar,gram,1,1480,0
2024-05-28T00:00:00Z,small_bar,gram,1332,NA,0
2024-05-28T00:00:00Z,bungamas,gram,235,1,440
2024-05-28T00:00:00Z,bungamas,gram,1,470,1
2024-05-28T00:00:00Z,bungamas,gram,915,5,2050
2024-05-28T00:00:00Z,bungamas,gram,NA,NA,999
2024-05-28T00:00:00Z,flexibar,gram,386,347,NA
2024-05-28T00:00:00Z,gold_wafer_22k,dinar,NA,100,NA
2024-05-28T00:00:00Z,gold_jewel,gram,100,0,100
